"公司代號","公司名稱","產業別","基本每股盈餘(元)","普通股每股面額","營業收入","營業利益","營業外收入及支出","稅後淨利",
"1724","台硝股份有限公司","化學工業","0.37","新台幣                 10.0000元","1578371.00","87283.00","-27995.00","47082.00",
"1725","元禎企業股份有限公司","化學工業","0.99","新台幣                 10.0000元","7725085.00","175629.00","33531.00","180074.00",
"1726","永記造漆工業股份有限公司","化學工業","3.62","新台幣                 10.0000元","5627185.00","805545.00","20637.00","586861.00",
"1727","臺灣中華化學工業股份有限公司","化學工業","0.53","新台幣                 10.0000元","1781118.00","72423.00","-2752.00","60271.00",
"1730","花仙子企業股份有限公司","化學工業","2.41","新台幣                 10.0000元","1445629.00","153647.00","42060.00","152275.00",
"1731","美吾華股份有限公司","生技醫療業","0.58","新台幣                 10.0000元","1189786.00","121399.00","-22033.00","76935.00",
"1732","毛寶股份有限公司","化學工業","0.03","新台幣                 10.0000元","447910.00","2966.00","1167.00","1094.00",
"1733","五鼎生物技術股份有限公司","生技醫療業","0.41","新台幣                 10.0000元","1323240.00","81643.00","-30911.00","38786.00",
"1734","杏輝藥品工業股份有限公司","生技醫療業","0.09","新台幣                 10.0000元","1565711.00","-60616.00","3694.00","-82467.00",
"1735","日勝化工股份有限公司","化學工業","0.37","新台幣                 10.0000元","2424236.00","67470.00","-5075.00","36829.00",
"1736","喬山健康科技股份有限公司","生技醫療業","-0.69","新台幣                 10.0000元","13134273.00","-420971.00","185795.00","-210076.00",
"1737","臺鹽實業股份有限公司","食品工業","1.45","新台幣                 10.0000元","2091835.00","353236.00","-3289.00","289935.00",
"1762","中化合成生技股份有限公司","生技醫療業","0.49","新台幣                 10.0000元","824701.00","55260.00","-8500.00","38178.00",
"1773","勝一化工股份有限公司","化學工業","4.32","新台幣                 10.0000元","5089101.00","737695.00","49837.00","648613.00",
"1776","展宇科技材料股份有限公司","化學工業","0.78","新台幣                 10.0000元","1519350.00","41513.00","62606.00","66208.00",
"1783","和康生物科技股份有限公司","生技醫療業","0.18","新台幣                 10.0000元","316199.00","14583.00","-1678.00","12299.00",
"1786","科妍生物科技股份有限公司","生技醫療業","-0.01","新台幣                 10.0000元","171881.00","8524.00","-8921.00","-397.00",
"1789","台灣神隆股份有限公司","生技醫療業","0.46","新台幣                 10.0000元","2621471.00","459286.00","-61157.00","361549.00",
"1802","台灣玻璃工業股份有限公司","玻璃陶瓷","0.41","新台幣                 10.0000元","32290334.00","1758299.00","-363901.00","1211276.00",
"1805","寶徠建設股份有限公司","建材營造","-0.71","新台幣                 10.0000元","11290.00","-68940.00","11624.00","-57316.00",
"1806","冠軍建材股份有限公司","玻璃陶瓷","-0.22","新台幣                 10.0000元","3606095.00","-17217.00","-49384.00","-95516.00",
"1808","潤隆建設股份有限公司","建材營造","0.76","新台幣                 10.0000元","2114263.00","144986.00","54371.00","183810.00",
"1809","中國製釉股份有限公司","玻璃陶瓷","0.02","新台幣                 10.0000元","1799400.00","-48646.00","145265.00","42417.00",
